,title,appId,url,icon,developer,developerId,priceText,price,free,summary,scoreText,score,currency
83,BitLife - Life Simulator,com.candywriter.bitlife,https://play.google.com/store/apps/details?id=com.candywriter.bitlife,https://play-lh.googleusercontent.com/fUM-UyywXxjC8soxAZdIlxJrlRRXmql8wkE426SHzft4lJycSKVd2jCYQQX1BEG9Xw,"Candywriter, LLC",8094408836964062012,FREE,0.0,True,A super fun life simulator where YOU control what happens with your choices!,4.2,4.159723,
84,Call of Duty®: Mobile - Tokyo Escape,com.activision.callofduty.shooter,https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter,https://play-lh.googleusercontent.com/9Y-xblw8XUBtnjdS5OM2v93_XQ2i0dQtWXzbjnR0XMl3hpTfeZAZL-hllTH5loBjdoo,"Activision Publishing, Inc.","Activision+Publishing,+Inc.",FREE,0.0,True,"Call of Duty: Mobile offers PVP, Battle Royale, Sniper gameplay",4.5,4.4778333,
85,Woodoku,com.tripledot.woodoku,https://play.google.com/store/apps/details?id=com.tripledot.woodoku,https://play-lh.googleusercontent.com/4CY28aVOBLh8wNvAd51fU44m-MYDs9sPo35h1tC12blgWkSB9dYutrZiZ_rmwSoDiFty,Tripledot Studios Limited,7461875482624565371,FREE,0.0,True,Woody Block Puzzle - Sudoku 99,4.4,4.418605,
86,Draw Happy Police,com.newstory.DrawHappyPolice,https://play.google.com/store/apps/details?id=com.newstory.DrawHappyPolice,https://play-lh.googleusercontent.com/qqO7mcNl4aiSTeKX17f4otjDx-TRFh42qrJAfpxIF_OmhQkgrIfFN2JdMMsU1azX88TD,New Story Inc.,New+Story+Inc.,FREE,0.0,True,Can you make the police happy ?,3.9,3.8923557,
87,Hero Wars – Hero Fantasy Multiplayer Battles,com.nexters.herowars,https://play.google.com/store/apps/details?id=com.nexters.herowars,https://play-lh.googleusercontent.com/yCfZ99P3rHwCHssMWdGOnZrJFK8k-XGiou4h8VemzwFCTvZkSOku9Gl9K9hmOeVXSrzk,NEXTERS GLOBAL LTD,8107855987752203465,FREE,0.0,True,Beautiful Hero Fantasy Battle Adventure: touch an Ultimate power.,4.4,4.407578,
88,Summoners War: Lost Centuria,com.com2us.lostcenturia.android.google.global.normal,https://play.google.com/store/apps/details?id=com.com2us.lostcenturia.android.google.global.normal,https://play-lh.googleusercontent.com/wY4-5QZxAJNQhyR500tPH6k-h46YZp6xj6FP_FBISVVFf-4FLPcTU7Vwg2oXoy_PXuNk,Com2uS,6850516909323484758,FREE,0.0,True,YOU AGAINST THE WORLD. Fight a real battle in Lost Centuria!,4.2,4.191056,
89,Oh God!,com.kad.ohgod,https://play.google.com/store/apps/details?id=com.kad.ohgod,https://play-lh.googleusercontent.com/DvIt9jHT8BWyh8rbKN2ml5M2OgsfXsf4aZPrL2nbdm-bmc1G4EXamloffTJiQorKjqE,Alictus,7280571841518590348,FREE,0.0,True,Rule the heaven and hell! Oh God! It is not that easy! Be the judge &amp; decide now,3.5,3.5437195,
90,Tangle Master 3D,com.rollic.tanglemaster3D,https://play.google.com/store/apps/details?id=com.rollic.tanglemaster3D,https://play-lh.googleusercontent.com/qw_C_tkQU0iYJbPDC5pczEiCQb6eNSIxEzNWO4uCwsD7s0mhaW3MmvbxuQ2F_VykB7Y,Zynga,6690081412016968981,FREE,0.0,True,Brain teasing rope puzzle,3.6,3.6392987,
91,Sling Plane 3D,com.panteon.slingplane,https://play.google.com/store/apps/details?id=com.panteon.slingplane,https://play-lh.googleusercontent.com/1QpQq53wRvifWJgx2z2P3ufUVwSdeBZPgAKzf0AJo92c7wwtmIgy1l1I56kRtfTKFSc,Panteon,Panteon,FREE,0.0,True,Aim and Shoot Your Plane,3.7,3.6938684,
92,World War 2 - Battle Combat (FPS Games),com.edkongames.ww2,https://play.google.com/store/apps/details?id=com.edkongames.ww2,https://play-lh.googleusercontent.com/viwYr-okx1KTPqokxq8uFYuM93iRnObPwxHtMJoq0J4ww3U8Gf-vbgbR6XFL53i7-Cs,Edkon Games GmbH,5099160657148662997,FREE,0.0,True,Play free mobile ww2 shooter game now to gain real shooting games experience,4.4,4.3592005,
